NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
411638	LOC411638	transport and Golgi organization protein 6 homolog	PROTEIN_CODING	35155	NCBI Ortholog	NC_037643.1	16520816	16524574
411639	LOC411639	cytoplasmic dynein 2 heavy chain 1	PROTEIN_CODING	35073	NCBI Ortholog	NC_037643.1	2247993	2281755
411640	LOC411640	DNA replication licensing factor Mcm2	PROTEIN_CODING	40973	NCBI Ortholog	NC_037641.1	4812807	4817093
411642	LOC411642	NF-kappa-B inhibitor-interacting Ras-like protein	PROTEIN_CODING	35667	NCBI Ortholog	NC_037641.1	12162045	12162968
411649	LOC411649	alkylated DNA repair protein alkB homolog 8	PROTEIN_CODING	37585	NCBI Ortholog	NC_037642.1	12054985	12057398
411651	LOC411651	Bardet-Biedl syndrome 7 protein homolog	PROTEIN_CODING			NC_037645.1	8867702	8871659
411652	LOC411652	zinc finger protein 879	PROTEIN_CODING			NC_037645.1	8870953	8875189
411654	LOC411654	probable tRNA N6-adenosine threonylcarbamoyltransferase	PROTEIN_CODING	39811	NCBI Ortholog	NC_037647.1	268198	269632
411658	LOC411658	transcriptional adapter 3-B	PROTEIN_CODING	32787	NCBI Ortholog	NC_037645.1	2244715	2246293
411664	LOC411664	uncharacterized LOC411664	PROTEIN_CODING			NC_037642.1	12642497	12649776
411665	LOC411665	heparan sulfate 2-O-sulfotransferase pipe	PROTEIN_CODING	40104	NCBI Ortholog	NC_037638.1	1936664	1986516
411673	LOC411673	dystrobrevin beta	PROTEIN_CODING			NC_037643.1	5302174	5321454
411675	LOC411675	UNC93-like protein	PROTEIN_CODING			NC_037638.1	2144629	2151064
411683	LOC411683	macrophage erythroblast attacher	PROTEIN_CODING	326135	NCBI Ortholog	NC_037644.1	198447	200638
411691	LOC411691	phosphotriesterase-related protein	PROTEIN_CODING	41116	NCBI Ortholog	NC_037647.1	5959801	5968210
411692	LOC411692	elongation of very long chain fatty acids protein 4	PROTEIN_CODING			NC_037643.1	12997802	13013895
411693	LOC411693	Kv channel-interacting protein 1	PROTEIN_CODING	43126	NCBI Ortholog	NC_037645.1	1607445	1626115
411696	LOC411696	GDP-mannose 4,6 dehydratase	PROTEIN_CODING	33716	NCBI Ortholog	NC_037644.1	13470264	13472660
411697	LOC411697	short-chain specific acyl-CoA dehydrogenase, mitochondrial	PROTEIN_CODING	42364	NCBI Ortholog	NC_037639.1	15124022	15127253
411699	LOC411699	SID1 transmembrane family member 1	PROTEIN_CODING			NC_037649.1	7845615	7849107
411700	LOC411700	heat shock protein 83	PROTEIN_CODING			NC_037638.1	20112796	20115650
411705	LOC411705	synaptojanin-1	PROTEIN_CODING	37517	NCBI Ortholog	NC_037638.1	14886949	14892128
411706	LOC411706	phospholipase B1, membrane-associated	PROTEIN_CODING			NC_037644.1	10556988	10561796
411712	LOC411712	embryonic polarity protein dorsal	PROTEIN_CODING			NC_037644.1	10604116	10607194
411723	LOC411723	E3 ubiquitin-protein ligase Nedd-4	PROTEIN_CODING	39958	NCBI Ortholog	NC_037638.1	19789533	19797933
411724	LOC411724	glycerol-3-phosphate acyltransferase 1, mitochondrial	PROTEIN_CODING	43350	NCBI Ortholog	NC_037652.1	5790955	5801936
411725	LOC411725	tektin-3	PROTEIN_CODING			NC_037652.1	5788514	5790792
411727	LOC411727	bromodomain-containing protein 8	PROTEIN_CODING	43460	NCBI Ortholog	NC_037652.1	5777886	5781715
411731	LOC411731	endoplasmic reticulum metallopeptidase 1	PROTEIN_CODING			NC_037645.1	6298874	6305232
411734	LOC411734	valine--tRNA ligase	PROTEIN_CODING	45783	NCBI Ortholog	NC_037648.1	15144847	15150064
411739	LOC411739	stromal interaction molecule homolog	PROTEIN_CODING	32556	NCBI Ortholog	NC_037642.1	13422112	13431932
411742	LOC411742	transcription initiation factor TFIID subunit 8	PROTEIN_CODING			NC_037652.1	2773326	2776010
411744	LOC411744	spectrin beta chain	PROTEIN_CODING	32746	NCBI Ortholog	NC_037646.1	11444728	11474409
411746	LOC411746	uncharacterized LOC411746	PROTEIN_CODING			NC_037652.1	1483249	1542138
411748	LOC411748	protein kinase C-binding protein NELL1	PROTEIN_CODING			NC_037644.1	2110293	2185523
411753	LOC411753	TBC1 domain family member 25	PROTEIN_CODING	36698	NCBI Ortholog	NC_037638.1	24671833	24682142
411757	LOC411757	probable glucosamine 6-phosphate N-acetyltransferase	PROTEIN_CODING	43504	NCBI Ortholog	NC_037642.1	9547441	9548872
411758	LOC411758	N-terminal kinase-like protein	PROTEIN_CODING	43508	NCBI Ortholog	NC_037642.1	9548708	9553127
411760	LOC411760	metabotropic glutamate receptor 7	PROTEIN_CODING			NC_037641.1	10281345	10316844
411763	LOC411763	DNA polymerase subunit gamma-1, mitochondrial	PROTEIN_CODING	34792	NCBI Ortholog	NC_037639.1	13706256	13709991
411764	LOC411764	bestrophin-4	PROTEIN_CODING			NC_037639.1	15039395	15049126
411766	LOC411766	beta-alanine-activating enzyme	PROTEIN_CODING	34175	NCBI Ortholog	NC_037639.1	15071566	15076763
411771	LOC411771	cysteine sulfinic acid decarboxylase	PROTEIN_CODING	34791	NCBI Ortholog	NC_037645.1	2160346	2164245
411772	LOC411772	Y+L amino acid transporter 2	PROTEIN_CODING	43707	NCBI Ortholog	NC_037652.1	3504722	3534487
411774	LOC411774	protein SMG9	PROTEIN_CODING	2768908	NCBI Ortholog	NC_037645.1	2771682	2773885
411775	LOC411775	exocyst complex component 8	PROTEIN_CODING	43163	NCBI Ortholog	NC_037645.1	2767998	2771122
411779	LOC411779	testis-specific serine/threonine-protein kinase 3	PROTEIN_CODING			NC_037651.1	1033963	1035728
411781	LOC411781	sodium/potassium/calcium exchanger 4	PROTEIN_CODING			NC_037638.1	14052438	14058794
411785	LOC411785	akirin-2	PROTEIN_CODING	38821	NCBI Ortholog	NC_037647.1	9404612	9408342
411791	LOC411791	luc7-like protein 3	PROTEIN_CODING	31602	NCBI Ortholog	NC_037651.1	1460267	1464588
411793	LOC411793	EARP-interacting protein homolog	PROTEIN_CODING	39426	NCBI Ortholog	NC_037643.1	1871118	1872975
411794	LOC411794	CCR4-NOT transcription complex subunit 3	PROTEIN_CODING	35501	NCBI Ortholog	NC_037638.1	5480633	5485713
411795	LOC411795	Golgi to ER traffic protein 4 homolog	PROTEIN_CODING	40557	NCBI Ortholog	NC_037648.1	7233459	7236380
411797	LOC411797	protein cereblon	PROTEIN_CODING	41230	NCBI Ortholog	NC_037652.1	1561046	1564564
411802	LOC411802	biorientation of chromosomes in cell division protein 1-like 1	PROTEIN_CODING			NC_037644.1	754096	758989
411805	LOC411805	WD repeat, SAM and U-box domain-containing protein 1	PROTEIN_CODING			NC_037650.1	2418482	2425599
411807	LOC411807	uncharacterized LOC411807	PROTEIN_CODING			NC_037649.1	3096191	3102720
411808	LOC411808	proline dehydrogenase, mitochondrial	PROTEIN_CODING	33117	NCBI Ortholog	NC_037638.1	2155197	2179386
411809	LOC411809	enolase-phosphatase E1	PROTEIN_CODING	40630	NCBI Ortholog	NC_037642.1	2247407	2253665
411811	LOC411811	xenotropic and polytropic retrovirus receptor 1-like	PROTEIN_CODING			NC_037648.1	4362049	4367154
411813	LOC411813	NADP-dependent malic enzyme	PROTEIN_CODING	47173	NCBI Ortholog	NC_037649.1	2275794	2301397
411815	LOC411815	WW domain-containing oxidoreductase	PROTEIN_CODING	34090	NCBI Ortholog	NC_037653.1	5276414	5279078
411822	LOC411822	aldehyde dehydrogenase family 3 member B1	PROTEIN_CODING	45398	NCBI Ortholog	NC_037646.1	11055959	11069081
411827	LOC411827	protein roadkill	PROTEIN_CODING	41704	NCBI Ortholog	NC_037652.1	1579802	1746932
411828	LOC411828	DNA-binding protein P3A2	PROTEIN_CODING	30975	NCBI Ortholog	NC_037642.1	9895752	9901723
411829	LOC411829	neuroglian	PROTEIN_CODING	31792	NCBI Ortholog	NC_037642.1	9914602	9922485
411837	LOC411837	putative deoxyribonuclease TATDN1	PROTEIN_CODING	35604	NCBI Ortholog	NC_037646.1	7908332	7910671
411841	LOC411841	synembryn	PROTEIN_CODING	31874	NCBI Ortholog	NC_037645.1	1919065	1936648
411843	LOC411843	COP9 signalosome complex subunit 7b	PROTEIN_CODING	35816	NCBI Ortholog	NC_037650.1	7382389	7567285
411849	LOC411849	probable sulfite oxidase, mitochondrial	PROTEIN_CODING	32878	NCBI Ortholog	NC_037652.1	3698585	3701262
411857	LOC411857	charged multivesicular body protein 4b	PROTEIN_CODING	35933	NCBI Ortholog	NC_037651.1	6834445	6840499
411858	LOC411858	ATPase family AAA domain-containing protein 1-B	PROTEIN_CODING			NC_037640.1	1429414	1433166
411861	LOC411861	NF-kappa-B-repressing factor	PROTEIN_CODING	41865	NCBI Ortholog	NC_037648.1	14978395	14980464
411862	LOC411862	28S ribosomal protein S2, mitochondrial	PROTEIN_CODING	33688	NCBI Ortholog	NC_037648.1	14981223	14982597
411863	LOC411863	dehydrogenase/reductase SDR family member 7	PROTEIN_CODING	326177	NCBI Ortholog	NC_037648.1	14982742	14984667
411870	LOC411870	microtubule-associated proteins 1A/1B light chain 3A	PROTEIN_CODING			NC_037639.1	9503534	9505194
411871	LOC411871	dual specificity tyrosine-phosphorylation-regulated kinase 2-like	PROTEIN_CODING			NC_037639.1	9472913	9503365
411879	LOC411879	WD repeat-containing protein 82	PROTEIN_CODING	34153	NCBI Ortholog	NC_037646.1	6559799	6565038
411881	LOC411881	peregrin	PROTEIN_CODING	35648	NCBI Ortholog	NC_037645.1	2219022	2224075
411882	LOC411882	ER membrane protein complex subunit 2-B	PROTEIN_CODING			NC_037638.1	24280405	24284126
411888	LOC411888	uncharacterized LOC411888	PROTEIN_CODING	32447	NCBI Ortholog	NC_037648.1	874916	904238
411891	LOC411891	ARF GTPase-activating protein GIT1	PROTEIN_CODING	36122	NCBI Ortholog	NC_037642.1	11362244	11366826
411893	LOC411893	cytochrome P450 315a1, mitochondrial	PROTEIN_CODING	44858	NCBI Ortholog	NC_037640.1	8138875	8141925
411894	LOC411894	dynein beta chain, ciliary	PROTEIN_CODING			NC_037645.1	12183077	12209596
411902	LOC411902	transmembrane protein 205	PROTEIN_CODING	33085	NCBI Ortholog	NC_037652.1	2556243	2574342
411905	LOC411905	protein O-GlcNAcase	PROTEIN_CODING	42518	NCBI Ortholog	NC_037645.1	307742	316737
411906	LOC411906	histone-lysine N-methyltransferase KMT5B-B-like	PROTEIN_CODING			NC_037639.1	15096458	15103332
411907	LOC411907	cytoplasmic polyadenylation element-binding protein 1	PROTEIN_CODING	42752	NCBI Ortholog	NC_037641.1	3406438	3414622
411908	LOC411908	protein ABHD16A	PROTEIN_CODING	38519	NCBI Ortholog	NC_037644.1	13477482	13480792
411909	LOC411909	ran GTPase-activating protein 1	PROTEIN_CODING	35223	NCBI Ortholog	NC_037644.1	13480903	13483323
411915	LOC411915	mitogen-activated protein kinase p38b	PROTEIN_CODING			NC_037645.1	6317172	6321552
411917	LOC411917	NAD-dependent protein deacetylase sirtuin-1	PROTEIN_CODING	34708	NCBI Ortholog	NC_037641.1	12701383	12709086
411923	LOC411923	alanine--tRNA ligase, cytoplasmic	PROTEIN_CODING	34156	NCBI Ortholog	NC_037646.1	6537121	6542266
411924	LOC411924	probable 28S ribosomal protein S25, mitochondrial	PROTEIN_CODING	32395	NCBI Ortholog	NC_037646.1	6535783	6537216
411927	LOC411927	monoacylglycerol lipase ABHD12	PROTEIN_CODING	37200	NCBI Ortholog	NC_037638.1	22588999	22593159
411930	LOC411930	uncharacterized LOC411930	PROTEIN_CODING			NC_037640.1	8180245	8191464
411937	LOC411937	dynein regulatory complex subunit 4	PROTEIN_CODING	31321	NCBI Ortholog	NC_037652.1	6208825	6211211
411939	LOC411939	guanine nucleotide exchange factor subunit Rich	PROTEIN_CODING	40456	NCBI Ortholog	NC_037648.1	523835	530211
411953	LOC411953	protein Peter pan	PROTEIN_CODING	42502	NCBI Ortholog	NC_037653.1	2946210	2948159
411960	LOC411960	zinc finger protein 184	PROTEIN_CODING			NC_037646.1	1611805	1622100
411961	LOC411961	E3 ubiquitin-protein ligase HUWE1	PROTEIN_CODING	32510	NCBI Ortholog	NC_037645.1	1459055	1478804
411972	LOC411972	CTD small phosphatase-like protein 2	PROTEIN_CODING			NC_037651.1	5394286	5398617
411974	LOC411974	translation initiation factor eIF-2B subunit gamma	PROTEIN_CODING	36722	NCBI Ortholog	NC_037645.1	2611660	2616375
411976	LOC411976	sodium/potassium/calcium exchanger 4	PROTEIN_CODING	3354992	NCBI Ortholog	NC_037638.1	14028422	14035594
411981	LOC411981	probable ubiquitin carboxyl-terminal hydrolase FAF-X	PROTEIN_CODING	43749	NCBI Ortholog	NC_037642.1	6608001	6622684
411986	LOC411986	uncharacterized LOC411986	PROTEIN_CODING			NC_037644.1	4305953	4645433
411989	LOC411989	eukaryotic initiation factor 4A-I	PROTEIN_CODING	33835	NCBI Ortholog	NC_037645.1	11768495	11773048
411991	LOC411991	BTB/POZ domain-containing protein 7	PROTEIN_CODING	32546	NCBI Ortholog	NC_037645.1	5115530	5136174
412002	LOC412002	E3 ubiquitin-protein ligase Ubr3	PROTEIN_CODING	31713	NCBI Ortholog	NC_037640.1	10153108	10171443
412007	LOC412007	facilitated trehalose transporter Tret1	PROTEIN_CODING			NC_037651.1	1431431	1434840
412009	LOC412009	cyclin-C	PROTEIN_CODING	41801	NCBI Ortholog	NC_037639.1	3934274	3936075
412010	LOC412010	general transcription factor IIH subunit 4	PROTEIN_CODING	39688	NCBI Ortholog	NC_037639.1	3931463	3933948
412016	LOC412016	transforming growth factor beta regulator 1	PROTEIN_CODING	318595	NCBI Ortholog	NC_037638.1	3279891	3281704
412018	LOC412018	arginyl-tRNA--protein transferase 1	PROTEIN_CODING	37288	NCBI Ortholog	NC_037648.1	13609840	13613058
412020	LOC412020	peroxisomal acyl-coenzyme A oxidase 3	PROTEIN_CODING			NC_037643.1	12155340	12165673
412034	LOC412034	DNA helicase MCM8	PROTEIN_CODING			NC_037647.1	10293652	10302012
412035	LOC412035	condensin complex subunit 1	PROTEIN_CODING	43491	NCBI Ortholog	NC_037647.1	4914784	4922387
412036	LOC412036	exocyst complex component 3	PROTEIN_CODING	37142	NCBI Ortholog	NC_037641.1	169875	172338
412041	LOC412041	testis-specific serine/threonine-protein kinase 1	PROTEIN_CODING			NC_037645.1	1970395	1972488
412045	LOC412045	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	PROTEIN_CODING	37029	NCBI Ortholog	NC_037640.1	230965	238878
412046	LOC412046	trithorax group protein osa	PROTEIN_CODING	42130	NCBI Ortholog	NC_037648.1	14935634	14950154
412059	LOC412059	F-box only protein 11	PROTEIN_CODING	41209	NCBI Ortholog	NC_037642.1	9329271	9335733
412065	LOC412065	proton-coupled amino acid transporter 4	PROTEIN_CODING	42988	NCBI Ortholog	NC_037649.1	3085455	3089187
412074	LOC412074	probable cation-transporting ATPase 13A3	PROTEIN_CODING			NC_037651.1	6595800	6606900
412076	LOC412076	vacuolar protein-sorting-associated protein 36	PROTEIN_CODING	39523	NCBI Ortholog	NC_037639.1	6921177	6922925
412077	LOC412077	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	PROTEIN_CODING			NC_037639.1	6923498	6926753
412080	LOC412080	coronin-1C	PROTEIN_CODING	35596	NCBI Ortholog	NC_037645.1	7781794	7786350
412081	LOC412081	uncharacterized LOC412081	PROTEIN_CODING	36747	NCBI Ortholog	NC_037638.1	14774098	14801999
412083	LOC412083	coatomer subunit gamma	PROTEIN_CODING	43717	NCBI Ortholog	NC_037653.1	3171809	3175428
412085	LOC412085	post-GPI attachment to proteins factor 3	PROTEIN_CODING	35570	NCBI Ortholog	NC_037649.1	8627368	8629789
412088	LOC412088	mucin-12	PROTEIN_CODING	40868	NCBI Ortholog	NC_037638.1	24203491	24221707
412091	LOC412091	A disintegrin and metalloproteinase with thrombospondin motifs 9	PROTEIN_CODING			NC_037646.1	5868081	5988737
412099	LOC412099	GRAM domain-containing protein 2B	PROTEIN_CODING			NC_037643.1	5180849	5231591
412104	LOC412104	trafficking protein particle complex subunit 8	PROTEIN_CODING	40140	NCBI Ortholog	NC_037642.1	142376	148044
412108	LOC412108	casein kinase I	PROTEIN_CODING			NC_037648.1	2382794	2411786
412109	LOC412109	cilia- and flagella-associated protein 58	PROTEIN_CODING			NC_037643.1	1116949	1146696
412111	LOC412111	vigilin	PROTEIN_CODING	37116	NCBI Ortholog	NC_037640.1	8362374	8370357
412115	LOC412115	autophagy-related protein 9A	PROTEIN_CODING	36821	NCBI Ortholog	NC_037645.1	2686046	2691314
412116	LOC412116	RNA-binding protein 45	PROTEIN_CODING	38526	NCBI Ortholog	NC_037649.1	10052044	10056100
412119	LOC412119	gamma-tubulin complex component 4	PROTEIN_CODING	34441	NCBI Ortholog	NC_037642.1	2260721	2264200
412130	LOC412130	ral GTPase-activating protein subunit beta	PROTEIN_CODING	31953	NCBI Ortholog	NC_037641.1	3699954	3708030
412143	LOC412143	rho guanine nucleotide exchange factor 18	PROTEIN_CODING	35237	NCBI Ortholog	NC_037639.1	4492013	4508321
412148	LOC412148	ras suppressor protein 1	PROTEIN_CODING	34774	NCBI Ortholog	NC_037649.1	2262581	2264668
412149	LOC412149	uncharacterized LOC412149	PROTEIN_CODING	42831	NCBI Ortholog	NC_037641.1	3429357	3432160
412154	LOC412154	probable cytosolic oligopeptidase A	PROTEIN_CODING	42984	NCBI Ortholog	NC_037648.1	15814217	15817432
412155	LOC412155	F-box/WD repeat-containing protein 5	PROTEIN_CODING	33854	NCBI Ortholog	NC_037646.1	6526317	6529607
412157	LOC412157	HEAT repeat-containing protein 5B	PROTEIN_CODING	40950	NCBI Ortholog	NC_037649.1	7761659	7786894
412159	LOC412159	pre-mRNA-splicing factor SYF1	PROTEIN_CODING	36514	NCBI Ortholog	NC_037640.1	4462436	4467595
412160	LOC412160	programmed cell death protein 10	PROTEIN_CODING	41876	NCBI Ortholog	NC_037640.1	4461188	4462563
412161	LOC412161	broad-complex core protein	PROTEIN_CODING			NC_037645.1	12263746	12291782
412162	LOC412162	armadillo repeat-containing protein gudu	PROTEIN_CODING	34014	NCBI Ortholog	NC_037644.1	3807388	3813373
412163	LOC412163	aldose reductase	PROTEIN_CODING			NC_037652.1	5167399	5170227
412170	LOC412170	putative neutral sphingomyelinase	PROTEIN_CODING	38396	NCBI Ortholog	NC_037643.1	9114001	9117019
412174	LOC412174	dynein intermediate chain 2, axonemal	PROTEIN_CODING			NC_037647.1	11928026	11931227
412175	LOC412175	E3 ubiquitin-protein ligase SH3RF3	PROTEIN_CODING	36990	NCBI Ortholog	NC_037639.1	15115204	15120434
412176	LOC412176	transcription initiation factor TFIID subunit 1	PROTEIN_CODING	40813	NCBI Ortholog	NC_037644.1	12495813	12503407
412180	LOC412180	septin-1	PROTEIN_CODING	33114	NCBI Ortholog	NC_037649.1	10693944	10698093
412189	LOC412189	phosphopantothenoylcysteine decarboxylase	PROTEIN_CODING	246533	NCBI Ortholog	NC_037638.1	5491644	5492776
412191	LOC412191	protein diaphanous	PROTEIN_CODING	35340	NCBI Ortholog	NC_037638.1	14261345	14282412
412196	LOC412196	uncharacterized LOC412196	PROTEIN_CODING	33564	NCBI Ortholog	NC_037638.1	15120592	15123437
412197	LOC412197	protein lethal(2)essential for life	PROTEIN_CODING			NC_037638.1	15118751	15120554
412201	LOC412201	calcium-binding mitochondrial carrier protein SCaMC-1-B-like	PROTEIN_CODING					
412203	LOC412203	protein brown	PROTEIN_CODING			NC_037652.1	2253684	2259995
412205	LOC412205	monocyte to macrophage differentiation factor 2	PROTEIN_CODING	31656	NCBI Ortholog	NC_037652.1	9100505	9108659
412209	LOC412209	probable cytochrome P450 6a17	PROTEIN_CODING			NC_037650.1	10723047	10725867
412220	LOC412220	vesicular glutamate transporter 2.2	PROTEIN_CODING	42426	NCBI Ortholog	NC_037638.1	25314984	25321728
412227	LOC412227	protein SPT2 homolog	PROTEIN_CODING	43266	NCBI Ortholog	NC_037642.1	11992644	11998440
412230	LOC412230	dynein heavy chain 3, axonemal	PROTEIN_CODING	38586	NCBI Ortholog	NC_037652.1	9061000	9079509
412231	LOC412231	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	PROTEIN_CODING			NC_037652.1	9056193	9060531
412233	LOC412233	pseudouridine-metabolizing bifunctional protein C1861.05	PROTEIN_CODING	33233	NCBI Ortholog	NC_037647.1	8072523	8104322
412234	LOC412234	pyrroline-5-carboxylate reductase	PROTEIN_CODING			NC_037641.1	768102	772821
412235	LOC412235	caspase-1	PROTEIN_CODING			NC_037641.1	761211	764431
412236	LOC412236	E3 ubiquitin-protein ligase LRSAM1	PROTEIN_CODING			NC_037648.1	403534	407519
412243	LOC412243	protein split ends	PROTEIN_CODING			NC_037640.1	12082455	12164657
412247	LOC412247	rRNA methyltransferase 2, mitochondrial	PROTEIN_CODING	42359	NCBI Ortholog	NC_037648.1	8042408	8043386
412249	LOC412249	coiled-coil domain-containing protein 22 homolog	PROTEIN_CODING	39888	NCBI Ortholog	NC_037645.1	3726918	3730355
412254	LOC412254	BUB3-interacting and GLEBS motif-containing protein ZNF207	PROTEIN_CODING	35004	NCBI Ortholog	NC_037645.1	12532209	12547220
412256	LOC412256	nucleosome-remodeling factor subunit NURF301	PROTEIN_CODING	44811	NCBI Ortholog	NC_037640.1	10222830	10238715
412260	LOC412260	serine/threonine-protein kinase SIK3-like	PROTEIN_CODING			NC_037649.1	3928492	3935543
412263	LOC412263	endoplasmic reticulum aminopeptidase 1	PROTEIN_CODING			NC_037638.1	27551458	27564651
412273	LOC412273	probable chitinase 10	PROTEIN_CODING			NC_037648.1	15458480	15471726
412274	LOC412274	plexin-B	PROTEIN_CODING	43766	NCBI Ortholog	NC_037644.1	1387249	1395751
412276	LOC412276	epimerase family protein SDR39U1	PROTEIN_CODING	36400	NCBI Ortholog	NC_037646.1	7543700	7545283
412277	LOC412277	mRNA cap guanine-N7 methyltransferase	PROTEIN_CODING	34877	NCBI Ortholog	NC_037648.1	12191134	12194076
412279	LOC412279	uncharacterized LOC412279	PROTEIN_CODING	5740294	NCBI Ortholog	NC_037643.1	15476017	15486472
412286	LOC412286	probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial	PROTEIN_CODING	39910	NCBI Ortholog	NC_037642.1	11954653	11956198
412287	LOC412287	peptidyl-prolyl cis-trans isomerase FKBP4	PROTEIN_CODING	47762	NCBI Ortholog	NC_037638.1	6024805	6027394
412288	LOC412288	WD repeat-containing protein 7	PROTEIN_CODING	31155	NCBI Ortholog	NC_037638.1	24637305	24651751
412291	LOC412291	uncharacterized protein KIAA2013 homolog	PROTEIN_CODING	33372	NCBI Ortholog	NC_037646.1	12341018	12347941
412294	LOC412294	deoxynucleotidyltransferase terminal-interacting protein 2	PROTEIN_CODING	40894	NCBI Ortholog	NC_037640.1	3188695	3189706
412295	LOC412295	nose resistant to fluoxetine protein 6	PROTEIN_CODING			NC_037640.1	3193438	3203310
412299	LOC412299	muscarinic acetylcholine receptor DM1	PROTEIN_CODING	37892	NCBI Ortholog	NC_037645.1	11961406	11966190
412301	LOC412301	testicular acid phosphatase homolog	PROTEIN_CODING			NC_037651.1	9057679	9060335
412303	LOC412303	choline-phosphate cytidylyltransferase A	PROTEIN_CODING			NC_037642.1	12944909	12950469
412306	LOC412306	TBC1 domain family member 14	PROTEIN_CODING			NC_037647.1	6016593	6019322
412309	LOC412309	ras-related C3 botulinum toxin substrate 1	PROTEIN_CODING			NC_037649.1	7827912	7829831
412313	LOC412313	probable ATP-dependent RNA helicase DDX17	PROTEIN_CODING			NC_037651.1	4954200	4961358
412314	LOC412314	rho GTPase-activating protein gacU	PROTEIN_CODING			NC_037639.1	15175608	15180374
412319	LOC412319	rhomboid-related protein 2	PROTEIN_CODING	32109	NCBI Ortholog	NC_037638.1	4407364	4413999
412320	LOC412320	solute carrier family 35 member F6	PROTEIN_CODING	41450	NCBI Ortholog	NC_037651.1	6570696	6573460
412323	LOC412323	stomatin-like protein 2, mitochondrial	PROTEIN_CODING	37807	NCBI Ortholog	NC_037645.1	6449793	6451773
412330	LOC412330	ubiquitin-conjugating enzyme E2 H	PROTEIN_CODING	31728	NCBI Ortholog	NC_037639.1	9400286	9442444
412331	LOC412331	striatin-interacting protein 1	PROTEIN_CODING	38412	NCBI Ortholog	NC_037639.1	9447965	9452739
412348	LOC412348	mediator of RNA polymerase II transcription subunit 19	PROTEIN_CODING	39987	NCBI Ortholog	NC_037648.1	13591404	13593290
412349	LOC412349	ER membrane protein complex subunit 4	PROTEIN_CODING	40505	NCBI Ortholog	NC_037653.1	5266021	5267111
412350	LOC412350	histone deacetylase 3	PROTEIN_CODING	44446	NCBI Ortholog	NC_037645.1	6575527	6577323
412351	LOC412351	E3 ubiquitin-protein ligase TM129	PROTEIN_CODING	40555	NCBI Ortholog	NC_037649.1	901314	903090
412354	LOC412354	uncharacterized LOC412354	PROTEIN_CODING	38578	NCBI Ortholog	NC_037638.1	25857039	25896926
412357	LOC412357	GA-binding protein subunit beta-1	PROTEIN_CODING			NC_037653.1	4934537	4937852
412360	LOC412360	transmembrane protein 231	PROTEIN_CODING			NC_037643.1	16561855	16567759
412366	LOC412366	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	PROTEIN_CODING			NC_037643.1	16604339	16605938
412367	LOC412367	39S ribosomal protein L15, mitochondrial	PROTEIN_CODING	40261	NCBI Ortholog	NC_037643.1	16599415	16601087
412372	LOC412372	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	PROTEIN_CODING	31377	NCBI Ortholog	NC_037644.1	11009771	11014008
412375	LOC412375	nudC domain-containing protein 3	PROTEIN_CODING	318645	NCBI Ortholog	NC_037648.1	2478595	2480212
412377	LOC412377	parafibromin	PROTEIN_CODING	41086	NCBI Ortholog	NC_037645.1	6633544	6636499
412379	LOC412379	copper-transporting ATPase 1	PROTEIN_CODING	32142	NCBI Ortholog	NC_037653.1	1505620	1521969
412384	LOC412384	BTB/POZ domain-containing protein 9	PROTEIN_CODING	32000	NCBI Ortholog	NC_037638.1	25093307	25096555
412388	LOC412388	CCR4-NOT transcription complex subunit 9	PROTEIN_CODING	32966	NCBI Ortholog	NC_037653.1	876726	879002
412393	LOC412393	cytosolic non-specific dipeptidase	PROTEIN_CODING	35507	NCBI Ortholog	NC_037644.1	4862731	4865537
412394	LOC412394	alpha-L-fucosidase	PROTEIN_CODING	3772574	NCBI Ortholog	NC_037644.1	4867108	4869574
412396	LOC412396	cytochrome c oxidase subunit 4 isoform 1, mitochondrial	PROTEIN_CODING			NC_037643.1	4817448	4819681
412397	LOC412397	uncharacterized LOC412397	PROTEIN_CODING	33488	NCBI Ortholog	NC_037638.1	5327536	5331038
412399	LOC412399	organic cation transporter protein	PROTEIN_CODING	42891	NCBI Ortholog	NC_037649.1	3286929	3311333
412410	LOC412410	U3 small nucleolar RNA-associated protein 6 homolog	PROTEIN_CODING	31833	NCBI Ortholog	NC_037638.1	9055661	9059121
412412	LOC412412	microfibrillar-associated protein 1	PROTEIN_CODING	38256	NCBI Ortholog	NC_037638.1	20613017	20616537
412416	LOC412416	protein angel	PROTEIN_CODING	37748	NCBI Ortholog	NC_037641.1	5521489	5528274
412420	LOC412420	thioredoxin domain-containing protein 17	PROTEIN_CODING					
412422	LOC412422	mediator of RNA polymerase II transcription subunit 1	PROTEIN_CODING			NC_037648.1	8103142	8112324
412426	LOC412426	ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	PROTEIN_CODING	33777	NCBI Ortholog	NC_037642.1	13469345	13474342
